subid, subage, gender, group, code, targ, resp, unknown, trial, block, Acc, RT, ts_RT, diff,
103,12, F, ea,1,7,32,132,73,1,1,367.21,363.79,3.42, 
103,12, F, ea,1,7,32,132,74,1,1,544.81,541.4,3.42, 
103,12, F, ea,1,5,32,132,75,1,1,727.67,724.28,3.39, 
103,12, F, ea,1,4,32,132,76,1,1,742.55,732.73,9.82, 
103,12, F, ea,1,1,32,132,77,1,1,506.85,503.35,3.5, 
103,12, F, ea,1,8,32,132,78,1,1,475,471.55,3.45, 
103,12, F, ea,1,9,32,132,79,1,1,633.01,626.51,6.5, 
103,12, F, ea,2,3,0,132,80,1,1,0,0,0, 
103,12, F, ea,1,6,32,132,81,1,1,345.59,342.02,3.58, 
103,12, F, ea,1,1,32,132,82,1,1,393.69,390.18,3.5, 
103,12, F, ea,1,1,32,132,83,1,1,339.52,335.94,3.58, 
103,12, F, ea,1,2,32,132,84,1,1,541.96,538.42,3.53, 
103,12, F, ea,1,6,32,132,85,1,1,503.3,499.93,3.38, 
103,12, F, ea,1,4,32,132,86,1,1,481.44,478.04,3.4, 
103,12, F, ea,1,2,32,132,87,1,1,430.91,427.43,3.48, 
103,12, F, ea,1,7,32,132,88,1,1,449.39,445.82,3.57, 
103,12, F, ea,1,7,32,132,89,1,1,554.63,551.16,3.48, 
103,12, F, ea,2,3,0,132,90,1,1,0,0,0, 
103,12, F, ea,1,8,32,132,91,1,1,319.44,315.4,4.05, 
103,12, F, ea,1,8,32,132,92,1,1,761.3,757.95,3.36, 
103,12, F, ea,1,4,32,132,93,1,1,577.15,573.73,3.42, 
103,12, F, ea,1,9,32,132,94,1,1,469.09,465.56,3.53, 
103,12, F, ea,3,111,97,132,95,1,999,10215.04,10211.79,3.24, 
103,12, F, ea,1,1,32,132,96,1,1,501.63,498.13,3.5, 
103,12, F, ea,1,8,32,132,97,1,1,535.84,532.15,3.68, 
103,12, F, ea,1,5,32,132,98,1,1,533.84,526.2,7.64, 
103,12, F, ea,1,8,32,132,99,1,1,753.09,749.52,3.56, 
103,12, F, ea,1,9,32,132,100,1,1,666.51,662.94,3.56, 
103,12, F, ea,3,111,97,132,101,1,999,1886.05,1882.59,3.46, 
103,12, F, ea,1,8,32,132,102,1,1,537.98,534.49,3.49, 
103,12, F, ea,1,4,32,132,103,1,1,384.61,381.21,3.41, 
103,12, F, ea,2,3,0,132,104,1,1,0,0,0, 
103,12, F, ea,1,9,32,132,105,1,1,410.48,406.76,3.72, 
103,12, F, ea,1,7,32,132,106,1,1,276.62,273.17,3.46, 
